status	maker	name	type	licence_state	licence_note	schematic_url	schematic_checked	repo_url	instructions_url	store_url
NEW REPO, hardware - Music Thing open source (TomWhitwell/Turing-Pulse-Expander)	Music Thing Modular	Pulses Mk II	Turing Machine gate/pulse expander	Open source	No licence published	https://github.com/TomWhitwell/Turing-Pulse-Expander			https://www.thonk.co.uk/wp-content/uploads/2024/04/Pulses-build-doc-v1.1.pdf	https://www.thonk.co.uk/shop/pulses-mk-ii-full-kit/
NEW REPO, hardware - Music Thing open source (TomWhitwell/Volts)	Music Thing Modular	Volts	Turing Machine 5-bit DAC CV expander	Open source	No licence published	https://www.musicthing.co.uk/collateral/Volts_Schematic.pdf			https://www.thonk.co.uk/wp-content/uploads/2023/10/Volts-Build-Doc-v1.0.pdf	https://www.thonk.co.uk/shop/mtm-turing-volts-kit/
NEW REPO, hardware - not in the star list; add?	AtoVproject	16n Faderbank (rework)	Fader controller (CV + MIDI)	Proprietary	No open licence published, treat as all rights reserved	https://github.com/ATOVproject/16n-AtoVproject-rework/blob/master/PCB/V1.4%20ALPS/AtoVproject%2016n%20ALPS%20V1.4%20NL.sch		https://github.com/ATOVproject/16n-AtoVproject-rework	https://atov.de/pages/atovproject-16n-rework-manual	
NEW REPO, hardware - not in the star list; add?	Greenface Labs	PBJ EU	Proto board with jacks for Eurorack prototyping	Open source	GPL-3.0 over the schematic, board and panel files	https://github.com/shannon-greenlight/PBJ_EU_3		https://github.com/shannon-greenlight/PBJ_EU_3	https://www.greenfacelabs.com/pbj-eu/	https://www.greenfacelabs.com/pbj-eu/
NEW REPO, hardware - not in the star list; add?	Greenface Labs	PBJ-Solo	Standalone proto board with 6 jacks and 1660 tie points	Open source	GPL-3.0 over the schematic, board and panel files	https://github.com/shannon-greenlight/PBJ_New		https://github.com/shannon-greenlight/PBJ_New	https://www.greenfacelabs.com/pbj-6/	https://www.greenfacelabs.com/pbj-6/
NEW REPO, hardware - not in the star list; add?	Greenface Labs	Pipes	Harmonic generator that tracks an input	Proprietary	Design files published with no licence	https://github.com/shannon-greenlight/pipes		https://github.com/shannon-greenlight/pipes	https://www.greenfacelabs.com/pipes/	https://www.greenfacelabs.com/pipes/
NEW REPO, hardware - not in the star list; add?	Greenface Labs	Sidecar	PBJ-EU expander adding potentiometers and controls	Open source	GPL-3.0 over the schematic, board and panel files	https://github.com/shannon-greenlight/PBJ_EU_3		https://github.com/shannon-greenlight/PBJ_EU_3	https://www.greenfacelabs.com/sidecar/	https://www.greenfacelabs.com/sidecar/
NEW REPO, hardware - not in the star list; add?	Greenface Labs	Super Melper	Higher current version of the Melper case adapter	Open source	GPL-3.0 over the schematic, board and panel files	https://github.com/shannon-greenlight/Super-Melper		https://github.com/shannon-greenlight/Super-Melper	https://www.greenfacelabs.com/super-melper/	https://www.greenfacelabs.com/super-melper/
NEW REPO, hardware - not in the star list; add?	Greenface Labs	Thor's Arsenal	Eight channels of waveform generation	Open source	GPL-3.0 over the schematic, board and panel files	https://github.com/shannon-greenlight/Thors-Arsenal/tree/main/main_board		https://github.com/shannon-greenlight/Thors-Arsenal	https://github.com/shannon-greenlight/Thors-Arsenal/tree/main/manual	https://www.greenfacelabs.com/thors-arsenal/
NEW REPO, hardware - not in the star list; add?	HAGIWO	4ch Sampler	Sample player	Open source	No licence published			https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/4ch_Sampler	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/4ch_Sampler	
NEW REPO, hardware - not in the star list; add?	HAGIWO	6CH Sequencer	6-channel gate/trigger sequencer	Open source	No licence published	https://github.com/ijnekenamay/HAGIWOs_Module/blob/master/6CH_Sequencer/original_schematic.jpg		https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/6CH_Sequencer	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/6CH_Sequencer	
NEW REPO, hardware - not in the star list; add?	HAGIWO	CHORD VCO	Chord oscillator	Open source	No licence published			https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/CHORD_VCO	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/CHORD_VCO	
NEW REPO, hardware - not in the star list; add?	HAGIWO	KICK	Drum voice (808/909 type)	Open source	No licence published	https://github.com/ijnekenamay/HAGIWOs_Module/blob/master/KICK/original_schematics.jpg		https://github.com/ijnekenamay/HAGIWOs_Module	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/KICK	
NEW REPO, hardware - not in the star list; add?	HAGIWO	MultiClockDiv	Clock divider	Open source	No licence published			https://github.com/ijnekenamay/HAGIWOs_Module	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/MultiClockDiv	
NEW REPO, hardware - not in the star list; add?	HAGIWO	Quantizer	Pitch quantizer	Open source	No licence published	https://github.com/ijnekenamay/HAGIWOs_Module/blob/master/Quantizer/original_schematic.jpg		https://github.com/ijnekenamay/HAGIWOs_Module	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/Quantizer	https://www.quinie.nl/product/quantizer-hagiwo-pcb-and-black-alu-panel/
NEW REPO, hardware - not in the star list; add?	HAGIWO	Sampler	Sample player	Open source	No licence published	https://github.com/ijnekenamay/HAGIWOs_Module/blob/master/Sampler/original_schematic.jpg		https://github.com/ijnekenamay/HAGIWOs_Module	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/Sampler	
NEW REPO, hardware - not in the star list; add?	HAGIWO	V2044 VCF	Voltage-controlled filter	Open source	No licence published			https://github.com/ijnekenamay/HAGIWOs_Module	https://github.com/ijnekenamay/HAGIWOs_Module/tree/master/V2044_VCF	
NEW REPO, hardware - not in the star list; add?	Kassutronics	ASR Envelope	Simplified attack/sustain/release envelope with loop mode	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/ASR%20Envelope		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2018/10/asr-envelope.html	https://store.kassutronics.net/eurorack-diy-c-1/asr-envelope-p-6
NEW REPO, hardware - not in the star list; add?	Kassutronics	Dual VCA	Dual linear VCA with mixer (AS3360)	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/Dual%20VCA		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2019/03/dual-vca.html	https://store.kassutronics.net/eurorack-diy-c-1/dual-vca-p-4
NEW REPO, hardware - not in the star list; add?	Kassutronics	KS-20 Filter	MS-20-style multimode filter	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/KS-20%20VCF		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2019/07/ks-20-filter.html	https://store.kassutronics.net/eurorack-diy-c-1/ks-20-filter-p-2
NEW REPO, hardware - not in the star list; add?	Kassutronics	Quad Attenuverter/Mixer	Four attenuverters normalled to a summing mixer	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/Attenuverter		https://github.com/kassu/kassutronics		https://store.kassutronics.net/eurorack-diy-c-1/quad-attenuverter-mixer-p-8
NEW REPO, hardware - not in the star list; add?	Kassutronics	Quantizer	Programmable CV quantizer (ATmega328P)	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/Quantizer		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2019/10/quantizer.html	https://store.kassutronics.net/eurorack-diy-c-1/quantizer-p-1
NEW REPO, hardware - not in the star list; add?	Kassutronics	Slope	Voltage-controlled slew limiter, envelope and looping LFO	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/Slope		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2020/10/slope.html	https://store.kassutronics.net/eurorack-diy-c-1/slope-p-9
NEW REPO, hardware - not in the star list; add?	Kassutronics	Transistor Ladder Filter	Transistor ladder low-pass filter	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/Transistor%20Ladder%20Filter		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2018/07/transistor-ladder-filter.html	https://store.kassutronics.net/eurorack-diy-c-1/transistor-ladder-filter-p-7
NEW REPO, hardware - not in the star list; add?	Kassutronics	VCO 3340	Analog VCO based on the AS3340	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/VCO%203340		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2018/06/vco-3340.html	https://store.kassutronics.net/eurorack-diy-c-1/vco-3340-p-3
NEW REPO, hardware - not in the star list; add?	Kassutronics	Wavefolder	Voltage-controlled transistor wavefolder with built-in VCA	Proprietary	No licence published	https://github.com/kassu/kassutronics/tree/master/documentation/Wavefolder		https://github.com/kassu/kassutronics	https://kassu2000.blogspot.com/2021/11/wavefolder.html	https://store.kassutronics.net/eurorack-diy-c-1/wavefolder-p-10
NEW REPO, hardware - not in the star list; add?	Mental Noise	Broca	Four channel audio mixer	Proprietary	GPL-3.0 covers the firmware, no hardware licence	https://github.com/Mental-Noise/Broca/tree/main/schematics		https://github.com/Mental-Noise/Broca	https://github.com/Mental-Noise/Broca/blob/main/Mental%20Noise%20-%20Broca.pdf	https://www.tindie.com/products/mentalnoise/broca-4-channels-audio-mixer-eurorack-module/
NEW REPO, hardware - not in the star list; add?	Modulove	A-RYTH-MATIK	Six channel euclidean gate sequencer	Proprietary	MIT covers the firmware, no hardware licence			https://github.com/modulove/A-RYTH-MATIK	https://dl.modulove.de/module/arythmatik/ARYTHMATIK_nEuclid-Sequencer_Firmware_User-Manual.pdf	https://www.tindie.com/products/modulove/a-ryth-matik-6ch-euclid-gate-sequencer/
NEW REPO, hardware - not in the star list; add?	Music Thing Modular	Mikrophonie	Contact-mic amplifier	Open source	No licence published	https://github.com/TomWhitwell/Mikrophonie/tree/master/Hardware		https://github.com/TomWhitwell/Mikrophonie	https://github.com/TomWhitwell/Mikrophonie	https://www.thonk.co.uk/shop/mtm-mikrophonie-bundle/
NEW REPO, hardware - not in the star list; add?	Music Thing Modular	Radio Music	Sample / radio player	Open source	No licence published	https://github.com/TomWhitwell/RadioMusic/tree/master/RadioMusicHardware		https://github.com/TomWhitwell/RadioMusic	https://github.com/TomWhitwell/RadioMusic/wiki/Building-the-Radio-Music-module	
NEW REPO, hardware - not in the star list; add?	Owen-Patrick	SoftSynthetics DSP	Karaoke-DSP-based stereo multi-FX	Proprietary	No open licence published, treat as all rights reserved	https://github.com/Owen-Patrick/SoftSynthetics-DSP/blob/main/v1.1/DSP%201.1.kicad_sch		https://github.com/Owen-Patrick/SoftSynthetics-DSP	https://github.com/Owen-Patrick/SoftSynthetics-DSP/blob/main/README.md	
NEW REPO, hardware - not in the star list; add?	Sherpa Modular	RawWaves (v2)	Sample player (WAV/RAW)	Proprietary	No open licence published, treat as all rights reserved	https://github.com/SherpaModular/RawWaves/blob/main/Hardware/KiCad/RawWavesV2.kicad_sch		https://github.com/SherpaModular/RawWaves	https://github.com/SherpaModular/RawWaves/blob/main/README.md	https://sherpamodular.com/products/raw-waves-v2
NEW REPO, hardware - not in the star list; add?	Sourcery Studios	Riddles	Multimode filter with VCA on the low pass output	Proprietary	No open licence published, treat as all rights reserved			https://github.com/SourceryOne/Riddles	https://github.com/SourceryOne/Riddles	https://www.tindie.com/products/Sourcery/riddles-a-throughhole-version-of-the-mi-ripples/
