rank	repo	draw	sort_hash
1	newdigate/teensy-eurorack	random	00d054e25d56cbc2
2	glitched0xff/Midi2euroPiW	random	02b175f429a0e021
3	ltrooney/diy-synth	random	034f9ba99d5f3246
4	bpcmusic/TXb	random	038886a1b4f507be
5	508-loop-detected/precision-adder	random	04dba181f76c3ec8
6	mortonkopf/Teensy-eurorack-rotating-step-divider	random	06b20cf6f9e84f08
7	AfterLaterAudio/Eurorack	random	06ff2e1b97aa692b
8	DatanoiseTV/PicoADK-Eurorack-Module	random	084843b37b4ebee3
9	monome/ansible-hardware	random	084ed1dc020ec287
10	WiggisModular/mmc	random	08c1cd1c4ca35ad6
11	spherical-sound-society/vortex-generator	random	09573548ab55b9f2
12	BruteClaw/Analog-Synth	random	0ab803e0fd652978
13	Thorinair/Avalon-Harmonics	random	0ac09cb7ba6a880d
14	Testbild-synth/headphone	random	0ac979c42a331d8c
15	dchwebb/Addatone	random	0b65dbc3ae78fc40
16	wntrblm/Castor_and_Pollux	random	0ba9ed0aaba65eae
17	kstammits/crimps	random	0e219dded7b2ba1c
18	TomWhitwell/Workshop_Computer	random	0e54ddb5dc1f283b
19	Fihdi/MiniDrumkit	random	0f80eac47d3690ec
20	poetaster/noodle	random	0f8847ce7ac5dde7
21	spielhuus/elektrophon	random	104b9596c7a9be44
22	VoltageFoundryMod/ForgeSeries-CLK	random	113e0359920709c8
23	KittenVillage/Benjolin	random	1235a6814070f743
24	kweiwen/thinks	random	125a9c6888b8517b
25	polykit/vca-8	random	140fec6471afd056
26	samjkent/modular-mixer	random	14451fb3c4cdf64a
27	pingdynasty/Mix	random	14b6c306e7d8ddf5
28	joranvg/test-3	random	157096c3700fec3c
29	kevinkewang/tiny_rack	random	15edbd0b5cafc095
30	jakplugg/Orgone-accumulator	random	17288d37fdec5185
31	musicdevghost/eurorack	forced (ground truth: already 6 rows in CSV)	-
# seed: eurorack-pilot-2026-09-04  |  method: sort by md5(seed:repo), take first 30, plus 1 forced
