type	rows	tags	status	note
	2		UNMAPPED	
Ableton Link to clock / reset	2	clock	draft	
adder (dual 4:1 precision)	1	utility	draft	
adder (precision)	2	utility	draft	
Additive Oscillator	1	oscillator	draft	
additive oscillator	1	oscillator	draft	
ADSR	6	envelope	draft	
ADSR (2HP)	2	envelope	draft	
ADSR (7555)	1	envelope	draft	
ADSR (mini)	1	envelope	draft	
ADSR (VC, EnvGen8)	1	envelope	draft	
ADSR / VCA	1	vca, envelope	draft	
algorithmic melody generator (Turing Machine homage, Trinket M0)	1	sequencer, random	draft	
amplifier / overdrive	1	effect	draft	
analog logic	2	logic	draft	
Analog Shift Register / Turing Machine sequencer (dual shift register)	1	sequencer, random	draft	
analogue computer (birdsong / chaotic oscillator models)	1	oscillator, random, platform	draft	
Arduino platform (programmable)	1	platform	draft	
arpeggiator	1	sequencer	draft	
Atari Punk Console	1	oscillator	draft	
Atari Punk Console (1U)	1	oscillator	draft	
attenuator (0HP)	2	utility	draft	
attenuator (passive)	2	utility	draft	
attenuator (quad) / volume pedal to CV	1	utility	draft	
attenuator (single, 60 mm fader)	1	utility	draft	
attenuator / clipper / offset (CV)	1	utility	draft	
attenuator / mixer (passive, 5-ch)	1	mixer, utility	draft	
attenuator / multiple	1	utility	draft	
attenuator / offset (8-ch)	1	utility	draft	
attenumixer / multiple	1	mixer, utility	draft	
attenuverter	2	utility	draft	
attenuverter (8-ch)	1	utility	draft	
attenuverter (dual)	1	utility	draft	
attenuverter (triple)	1	utility	draft	
attenuverter / mixer (triple)	2	mixer, utility	draft	
attenuverter / offset / mixer (2-ch)	1	mixer, utility	draft	
attenuverter / offset / mixer (4-ch)	1	mixer, utility	draft	
attenuverter / offset / mixer (8-ch)	2	mixer, utility	draft	
attenuverting mixer (slim)	1	mixer, utility	draft	
attenuverting mixer (with mutes)	1	mixer, utility	draft	
audio input (dual, line level)	1	io	draft	
audio interface (2-in USB, Teensy 3.2)	1	io, platform	draft	
audio interface (ADAT I/O)	1	io	draft	
audio interface (FPGA PMOD, AK4619VN codec, 4 in / 4 out)	1	io	draft	
audio platform (Teensy 4.1)	1	platform	draft	
bass drum (TR-808 style)	2	drum	draft	
bass drum (TR-909)	1	drum	draft	
BBD delay / flanger (V3205)	1	effect	draft	
Benjolin	1	oscillator	draft	
Benjolin (chaotic oscillators / filter / rungler)	2	oscillator, filter, random	draft	
Bernoulli Gate	1	logic, random	draft	
Bernoulli gate (analog probability)	1	logic, random	draft	
Bernoulli gate (dual)	1	logic, random	draft	
Bernoulli gate (quad, CV probability)	1	logic, random	draft	
biodata to CV (plants)	1	controller	draft	
bitcrusher / LFO / output (overdrive)	1	lfo, effect, io	draft	
bitcrusher / sample-rate reducer	1	effect	draft	
breadboard dev tool (power)	1	power, other	draft	
breadboard interface (mixers)	1	other	draft	
buffered multiple	8	utility	draft	
buffered multiple (6-way)	1	utility	draft	
buffered multiple (dual 1-to-2)	2	utility	draft	
buffered multiple (dual 1-to-3)	1	utility	draft	
buffered multiple (triple 1-to-3) / precision adder	1	utility	draft	
