vendor	module_name	link	reason	checked
oZoe.fr	mod: ACX LFO eDruid	https://www.ozoe.fr/articles.php?lng=fr&pg=262&mnuid=316&tconfig=0	modification notes for someone else's module, not an oZoe design	2026-09-26
oZoe.fr	mod: STEINER VCF	https://www.ozoe.fr/articles.php?lng=fr&pg=502&mnuid=316&tconfig=0	modification notes for someone else's module, not an oZoe design	2026-09-26
oZoe.fr	mod: YuSynth Mixout-VC	https://www.ozoe.fr/articles.php?lng=fr&pg=261&mnuid=316&tconfig=0	modification notes for someone else's module, not an oZoe design	2026-09-26
oZoe.fr	mod: YuSynth VCO	https://www.ozoe.fr/articles.php?lng=fr&pg=263&mnuid=316&tconfig=0	modification notes for someone else's module, not an oZoe design	2026-09-26
oZoe.fr	mod: GGG Delay	https://www.ozoe.fr/articles.php?lng=fr&pg=264&mnuid=316&tconfig=0	modification notes for someone else's module, not an oZoe design	2026-09-26
oZoe.fr	stand-alone MIDI boxes, keyboards, complete synths, CORON DS-8 / KORG Mini Pops 120 mods	https://www.ozoe.fr/	not eurorack modules	2026-09-26
Eddy Bergman	Extras No.3 Gristleizer	https://www.eddybergman.com/2021/09/gristleizerstripboardlayout.html	standalone effect unit, not a module	2026-09-26
Music From Outer Space (Ray Wilson)	all MFOS modular designs (VCO, ADSR, VCFs, dual VCA, Noise Cornucopia, mixers, LFO, EGs, S&H, ring mod, phaser, quantizer, reverb, etc. - 31 projects)	https://musicfromouterspace.com/	"5U: site builds ""faceplates ... using the 3.5\"" x 8.75\"" format"" (8.75in = 5U); no design marked eurorack-compatible found. Licence: ""free for non-commercial use"". Only the ADSR page summary said ""Eurorack-style"" - judged unreliable"	2026-09-26
soundbender	all soundbender36 modules (02 VCO CEM3340 ... 95 Baby 8 Sequencer, ~85 posts)	https://soundbender36.wordpress.com/sommaire-synthetiseur-modulaire-diy/	Kosmo: cases hold 20cm-high modules, format credited to LMNC Kosmo (post 01); none marked eurorack-compatible	2026-09-26
Look Mum No Computer	1007 MIDIMUSO MIDI-CV	https://www.lookmumnocomputer.com/1007-midi-cv	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1008 MIDI to Trigger	https://www.lookmumnocomputer.com/1008miditotrig	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1114 Funky Filter (Kosmo version; eurorack GRRR is a row)	https://www.lookmumnocomputer.com/1114-funky-filter	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1148 Quad LFO	https://www.lookmumnocomputer.com/1148-quad-lfo	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1153 Bounce	https://www.lookmumnocomputer.com/1153bounce	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1157 Mini ADSR	https://www.lookmumnocomputer.com/1157-mini-adsr	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1158 VCADSR	https://www.lookmumnocomputer.com/1158-vcadsr	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1161 Buffered Multiple	https://www.lookmumnocomputer.com/1161-buffered-multiple	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1163 Mini Mixer	https://www.lookmumnocomputer.com/1163-mini-mixer	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1171 OBA	https://www.lookmumnocomputer.com/1171-oba	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1181 Dual VCA	https://www.lookmumnocomputer.com/1181-dual-vca	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1183/1184 Quad VCA Mixer	https://www.lookmumnocomputer.com/11831184-quad-vca-mixer	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1221 Oscillator Expander	https://www.lookmumnocomputer.com/1221oscexpander	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	1222 Performance VCO (Kosmo DIY version; eurorack 1222 is a row)	https://www.lookmumnocomputer.com/1222-performance-vco	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	2001 Keyboard Sequencer	https://www.lookmumnocomputer.com/2001keyboardsequencer	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	2221 Crosfobermordulator	https://www.lookmumnocomputer.com/crosfobermordulator	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	2399 Triple Splashback (Kosmo; eurorack version is a row)	https://www.lookmumnocomputer.com/2399-triple-splashback	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	2700 Twin T Drummer	https://www.lookmumnocomputer.com/2700-twin-t-drummer	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	4051 Plexquencer	https://www.lookmumnocomputer.com/4051-plexquencer	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	4710 Safety Valve	https://www.lookmumnocomputer.com/4710-safety-valve	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	5000 Kosmo Minis	https://www.lookmumnocomputer.com/5000-kosmo-minis	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	Performance Filter 1112/1113	https://www.lookmumnocomputer.com/performance-filter	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	VCLFO10	https://www.lookmumnocomputer.com/vclfo	Kosmo format (stated on page / store / LMNC discourse Kosmo category, or inferred from the Kosmo-only line for 1148, 1153, 1161); not marked eurorack-compatible	2026-09-26
Look Mum No Computer	2000 Megadrone	https://www.lookmumnocomputer.com/2000-megadrone	standalone synth, not a module	2026-09-26
YuSynth	VCO	http://yusynth.net/Modular/EN/VCO/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	ADSR	http://yusynth.net/Modular/EN/ADSR/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	VCA	http://yusynth.net/Modular/EN/VCA/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	EMSVCF	http://yusynth.net/Modular/EN/EMSVCF/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	ARPVCF	http://yusynth.net/Modular/EN/ARPVCF/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	JH-TAUPHASE	http://yusynth.net/Modular/EN/JH-TAUPHASE/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
YuSynth	WAVEFOLDER	http://yusynth.net/Modular/EN/WAVEFOLDER/index.html	"Synthesizers.com (5U ""Dotcom"") standard: ""In the yusynth modular I am using the Synthesizers.com standard""; page has no eurorack mention (checked 2026-09-26)"	2026-09-26
