kind	id	repo	module_dir	module_name	type	type_basis_or_reason	components	keep?
row	p951	RebelTechnology/RebelTechnology	BalancedIO	Balanced I/O	interface (balanced line in/out, THAT1646/1200)	inferred: BalancedInputOutput / DualBalancedInput / DualBalancedOutput schematics (AUDIO_IN/OUT, IN_/OUT_LEFT/RIGHT; THAT1646, THAT1200); balancedio-notes.txt 'Balanced Output Rev02'	THT	
row	p952	RebelTechnology/RebelTechnology	Gonies	Gonies	clock / trigger generator (STM32)	inferred: gonies-notes.txt 'ANGLES: ΓΩΝΙΕΣ Gonies'; Gonies.sch nets TEMPOIN/TEMPOOUT, TR1/TR2, TOGGLE1/2, 6 ADC, 2 DAC	SMD	
row	p953	RebelTechnology/RebelTechnology	Igor	Igor	pressure controller (FSR)	igor-notes.txt: 'a knob to set the range, an output jack, and a jack for igor ... have it attenuated by the FSR'	SMD	
row	p954	RebelTechnology/RebelTechnology	Manifold	Manifold	DSP platform (OWL-based, 8 CV inputs)	inferred: Manifold.sch nets AIN/AOUT A+B, CS codec, ADC1-ADC8, USB, UART (OWL digital core, as Genius/Wizard)	both	
row	p955	RebelTechnology/RebelTechnology	MersenneTwister	Mersenne Twister	random / generative CV (STM32)	inferred: name (Mersenne Twister = pseudo-random generator) + schematic: STM32, 6 ADC, DI0-1 / DO0-1, TL072/TL074	both	
row	p956	RebelTechnology/RebelTechnology	MiniMixer	Mini Mixer	mixer (4-ch, switched inputs)	inferred: MiniMixer.sch nets IN_1-4, IN_SW_1-4, OUT (OPA2132)		
row	p957	RebelTechnology/RebelTechnology	MiniPowerAdaptor	Mini Power Adaptor	power adaptor	board names MiniPowerAdaptor / MiniPowerAdaptorInline (schematics have no labels)	SMD	
row	p958	RebelTechnology/RebelTechnology	MorphingVCA	Morphing VCA	VCA (lin/exp morphing, with 4-in mixer)	inferred: MorphingVCA.sch nets VCA_IN/OUT, LIN_POS_A, EXP_POS_A, CV_SUM, IN_1-4, OUT_SW_A/B (schematic title reads 'LinearMixer Revision 4')	SMD	
row	p959	RebelTechnology/RebelTechnology	Mussol	Mussol	CV I/O expander (MAX11300 20-port, STM32F446)	inferred: Mussol.sch nets PORT0-PORT19 + MAX_CS/MISO/MOSI/SCLK (MAX11300 mixed-signal I/O), STM32F446, USB; 'mussol' = Catalan for little owl (OWL family)	both	
row	p960	RebelTechnology/RebelTechnology	Noctua2	Noctua	DSP platform (6-in / 6-out audio, STM32H750)	inferred: Noctua2.sch nets AIN1-6 / AOUT1-6 (multichannel codec), ADC SPI, USB; Noctua1 had PCM3168A 6-in/8-out codec; 'noctua' = little owl (OWL family)	SMD	
row	p961	RebelTechnology/RebelTechnology	OpenSound	OpenSound	programmable CV / DSP platform (Particle Photon, 8 analog in, 2 DAC)	inferred: OpenSoundAnalog / OpenSoundPhoton schematics: Photon pins A0-A7, D0-D7, DAC1/2, SWITCH_A, MCP4822 DAC	SMD	
